anchor_text_norm	slug	label	title	node_type
alinea u	cf-1988-art-29-inc-4-ali-u	u)		alinea
u	cf-1988-art-29-inc-4-ali-u	u)		alinea
u)	cf-1988-art-29-inc-4-ali-u	u)		alinea
ali v	cf-1988-art-29-inc-4-ali-v	v)		alinea
alinea v	cf-1988-art-29-inc-4-ali-v	v)		alinea
v	cf-1988-art-29-inc-4-ali-v	v)		alinea
v)	cf-1988-art-29-inc-4-ali-v	v)		alinea
ali w	cf-1988-art-29-inc-4-ali-w	w)		alinea
alinea w	cf-1988-art-29-inc-4-ali-w	w)		alinea
w	cf-1988-art-29-inc-4-ali-w	w)		alinea
w)	cf-1988-art-29-inc-4-ali-w	w)		alinea
ali x	cf-1988-art-29-inc-4-ali-x	x)		alinea
alinea x	cf-1988-art-29-inc-4-ali-x	x)		alinea
x	cf-1988-art-29-inc-4-ali-x	x)		alinea
x)	cf-1988-art-29-inc-4-ali-x	x)		alinea
5	cf-1988-art-29-inc-5	V		inciso
5 -	cf-1988-art-29-inc-5	V		inciso
5-	cf-1988-art-29-inc-5	V		inciso
inc 5	cf-1988-art-29-inc-5	V		inciso
inc v	cf-1988-art-29-inc-5	V		inciso
inc. 5	cf-1988-art-29-inc-5	V		inciso
inc. v	cf-1988-art-29-inc-5	V		inciso
inciso 5	cf-1988-art-29-inc-5	V		inciso
inciso v	cf-1988-art-29-inc-5	V		inciso
v	cf-1988-art-29-inc-5	V		inciso
v -	cf-1988-art-29-inc-5	V		inciso
v-	cf-1988-art-29-inc-5	V		inciso
6	cf-1988-art-29-inc-6	VI		inciso
6 -	cf-1988-art-29-inc-6	VI		inciso
6-	cf-1988-art-29-inc-6	VI		inciso
inc 6	cf-1988-art-29-inc-6	VI		inciso
inc vi	cf-1988-art-29-inc-6	VI		inciso
inc. 6	cf-1988-art-29-inc-6	VI		inciso
inc. vi	cf-1988-art-29-inc-6	VI		inciso
inciso 6	cf-1988-art-29-inc-6	VI		inciso
inciso vi	cf-1988-art-29-inc-6	VI		inciso
vi	cf-1988-art-29-inc-6	VI		inciso
vi -	cf-1988-art-29-inc-6	VI		inciso
vi-	cf-1988-art-29-inc-6	VI		inciso
a	cf-1988-art-29-inc-6-ali-a	a)		alinea
a)	cf-1988-art-29-inc-6-ali-a	a)		alinea
ali a	cf-1988-art-29-inc-6-ali-a	a)		alinea
alinea a	cf-1988-art-29-inc-6-ali-a	a)		alinea
ali b	cf-1988-art-29-inc-6-ali-b	b)		alinea
alinea b	cf-1988-art-29-inc-6-ali-b	b)		alinea
b	cf-1988-art-29-inc-6-ali-b	b)		alinea
b)	cf-1988-art-29-inc-6-ali-b	b)		alinea
ali c	cf-1988-art-29-inc-6-ali-c	c)		alinea
alinea c	cf-1988-art-29-inc-6-ali-c	c)		alinea
c	cf-1988-art-29-inc-6-ali-c	c)		alinea
c)	cf-1988-art-29-inc-6-ali-c	c)		alinea
ali d	cf-1988-art-29-inc-6-ali-d	d)		alinea
alinea d	cf-1988-art-29-inc-6-ali-d	d)		alinea
d	cf-1988-art-29-inc-6-ali-d	d)		alinea
d)	cf-1988-art-29-inc-6-ali-d	d)		alinea
ali e	cf-1988-art-29-inc-6-ali-e	e)		alinea
alinea e	cf-1988-art-29-inc-6-ali-e	e)		alinea
e	cf-1988-art-29-inc-6-ali-e	e)		alinea
e)	cf-1988-art-29-inc-6-ali-e	e)		alinea
ali f	cf-1988-art-29-inc-6-ali-f	f)		alinea
alinea f	cf-1988-art-29-inc-6-ali-f	f)		alinea
f	cf-1988-art-29-inc-6-ali-f	f)		alinea
f)	cf-1988-art-29-inc-6-ali-f	f)		alinea
7	cf-1988-art-29-inc-7	VII		inciso
7 -	cf-1988-art-29-inc-7	VII		inciso
7-	cf-1988-art-29-inc-7	VII		inciso
inc 7	cf-1988-art-29-inc-7	VII		inciso
inc vii	cf-1988-art-29-inc-7	VII		inciso
inc. 7	cf-1988-art-29-inc-7	VII		inciso
inc. vii	cf-1988-art-29-inc-7	VII		inciso
inciso 7	cf-1988-art-29-inc-7	VII		inciso
inciso vii	cf-1988-art-29-inc-7	VII		inciso
vii	cf-1988-art-29-inc-7	VII		inciso
vii -	cf-1988-art-29-inc-7	VII		inciso
vii-	cf-1988-art-29-inc-7	VII		inciso
8	cf-1988-art-29-inc-8	VIII		inciso
8 -	cf-1988-art-29-inc-8	VIII		inciso
8-	cf-1988-art-29-inc-8	VIII		inciso
inc 8	cf-1988-art-29-inc-8	VIII		inciso
inc viii	cf-1988-art-29-inc-8	VIII		inciso
inc. 8	cf-1988-art-29-inc-8	VIII		inciso
inc. viii	cf-1988-art-29-inc-8	VIII		inciso
inciso 8	cf-1988-art-29-inc-8	VIII		inciso
inciso viii	cf-1988-art-29-inc-8	VIII		inciso
viii	cf-1988-art-29-inc-8	VIII		inciso
viii -	cf-1988-art-29-inc-8	VIII		inciso
viii-	cf-1988-art-29-inc-8	VIII		inciso
9	cf-1988-art-29-inc-9	IX		inciso
9 -	cf-1988-art-29-inc-9	IX		inciso
9-	cf-1988-art-29-inc-9	IX		inciso
inc 9	cf-1988-art-29-inc-9	IX		inciso
inc ix	cf-1988-art-29-inc-9	IX		inciso
inc. 9	cf-1988-art-29-inc-9	IX		inciso
inc. ix	cf-1988-art-29-inc-9	IX		inciso
inciso 9	cf-1988-art-29-inc-9	IX		inciso
inciso ix	cf-1988-art-29-inc-9	IX		inciso
ix	cf-1988-art-29-inc-9	IX		inciso
ix -	cf-1988-art-29-inc-9	IX		inciso
ix-	cf-1988-art-29-inc-9	IX		inciso
10	cf-1988-art-29-inc-10	X		inciso
10 -	cf-1988-art-29-inc-10	X		inciso
10-	cf-1988-art-29-inc-10	X		inciso
inc 10	cf-1988-art-29-inc-10	X		inciso
inc x	cf-1988-art-29-inc-10	X		inciso
inc. 10	cf-1988-art-29-inc-10	X		inciso
inc. x	cf-1988-art-29-inc-10	X		inciso
inciso 10	cf-1988-art-29-inc-10	X		inciso
inciso x	cf-1988-art-29-inc-10	X		inciso
x	cf-1988-art-29-inc-10	X		inciso
x -	cf-1988-art-29-inc-10	X		inciso
x-	cf-1988-art-29-inc-10	X		inciso
11	cf-1988-art-29-inc-11	XI		inciso
11 -	cf-1988-art-29-inc-11	XI		inciso
11-	cf-1988-art-29-inc-11	XI		inciso
inc 11	cf-1988-art-29-inc-11	XI		inciso
inc xi	cf-1988-art-29-inc-11	XI		inciso
inc. 11	cf-1988-art-29-inc-11	XI		inciso
inc. xi	cf-1988-art-29-inc-11	XI		inciso
inciso 11	cf-1988-art-29-inc-11	XI		inciso
inciso xi	cf-1988-art-29-inc-11	XI		inciso
xi	cf-1988-art-29-inc-11	XI		inciso
xi -	cf-1988-art-29-inc-11	XI		inciso
xi-	cf-1988-art-29-inc-11	XI		inciso
12	cf-1988-art-29-inc-12	XII		inciso
12 -	cf-1988-art-29-inc-12	XII		inciso
12-	cf-1988-art-29-inc-12	XII		inciso
inc 12	cf-1988-art-29-inc-12	XII		inciso
inc xii	cf-1988-art-29-inc-12	XII		inciso
inc. 12	cf-1988-art-29-inc-12	XII		inciso
inc. xii	cf-1988-art-29-inc-12	XII		inciso
inciso 12	cf-1988-art-29-inc-12	XII		inciso
inciso xii	cf-1988-art-29-inc-12	XII		inciso
xii	cf-1988-art-29-inc-12	XII		inciso
xii -	cf-1988-art-29-inc-12	XII		inciso
xii-	cf-1988-art-29-inc-12	XII		inciso
13	cf-1988-art-29-inc-13	XIII		inciso
13 -	cf-1988-art-29-inc-13	XIII		inciso
13-	cf-1988-art-29-inc-13	XIII		inciso
inc 13	cf-1988-art-29-inc-13	XIII		inciso
inc xiii	cf-1988-art-29-inc-13	XIII		inciso
inc. 13	cf-1988-art-29-inc-13	XIII		inciso
inc. xiii	cf-1988-art-29-inc-13	XIII		inciso
inciso 13	cf-1988-art-29-inc-13	XIII		inciso
inciso xiii	cf-1988-art-29-inc-13	XIII		inciso
xiii	cf-1988-art-29-inc-13	XIII		inciso
xiii -	cf-1988-art-29-inc-13	XIII		inciso
xiii-	cf-1988-art-29-inc-13	XIII		inciso
14	cf-1988-art-29-inc-14	XIV		inciso
14 -	cf-1988-art-29-inc-14	XIV		inciso
14-	cf-1988-art-29-inc-14	XIV		inciso
inc 14	cf-1988-art-29-inc-14	XIV		inciso
inc xiv	cf-1988-art-29-inc-14	XIV		inciso
inc. 14	cf-1988-art-29-inc-14	XIV		inciso
inc. xiv	cf-1988-art-29-inc-14	XIV		inciso
inciso 14	cf-1988-art-29-inc-14	XIV		inciso
inciso xiv	cf-1988-art-29-inc-14	XIV		inciso
xiv	cf-1988-art-29-inc-14	XIV		inciso
xiv -	cf-1988-art-29-inc-14	XIV		inciso
xiv-	cf-1988-art-29-inc-14	XIV		inciso
par 1	cf-1988-art-29-par-1	§ 1		paragrafo
paragrafo 1	cf-1988-art-29-par-1	§ 1		paragrafo
§ 1	cf-1988-art-29-par-1	§ 1		paragrafo
§ 1º	cf-1988-art-29-par-1	§ 1		paragrafo
§1	cf-1988-art-29-par-1	§ 1		paragrafo
§1º	cf-1988-art-29-par-1	§ 1		paragrafo
par 2	cf-1988-art-29-par-2	§ 2		paragrafo
paragrafo 2	cf-1988-art-29-par-2	§ 2		paragrafo
§ 2	cf-1988-art-29-par-2	§ 2		paragrafo
§ 2º	cf-1988-art-29-par-2	§ 2		paragrafo
§2	cf-1988-art-29-par-2	§ 2		paragrafo
§2º	cf-1988-art-29-par-2	§ 2		paragrafo
1	cf-1988-art-29-par-2-inc-1	I		inciso
1 -	cf-1988-art-29-par-2-inc-1	I		inciso
1-	cf-1988-art-29-par-2-inc-1	I		inciso
i	cf-1988-art-29-par-2-inc-1	I		inciso
i -	cf-1988-art-29-par-2-inc-1	I		inciso
i-	cf-1988-art-29-par-2-inc-1	I		inciso
inc 1	cf-1988-art-29-par-2-inc-1	I		inciso
inc i	cf-1988-art-29-par-2-inc-1	I		inciso
inc. 1	cf-1988-art-29-par-2-inc-1	I		inciso
inc. i	cf-1988-art-29-par-2-inc-1	I		inciso
inciso 1	cf-1988-art-29-par-2-inc-1	I		inciso
inciso i	cf-1988-art-29-par-2-inc-1	I		inciso
2	cf-1988-art-29-par-2-inc-2	II		inciso
2 -	cf-1988-art-29-par-2-inc-2	II		inciso
2-	cf-1988-art-29-par-2-inc-2	II		inciso
ii	cf-1988-art-29-par-2-inc-2	II		inciso
ii -	cf-1988-art-29-par-2-inc-2	II		inciso
ii-	cf-1988-art-29-par-2-inc-2	II		inciso
inc 2	cf-1988-art-29-par-2-inc-2	II		inciso
inc ii	cf-1988-art-29-par-2-inc-2	II		inciso
inc. 2	cf-1988-art-29-par-2-inc-2	II		inciso
inc. ii	cf-1988-art-29-par-2-inc-2	II		inciso
inciso 2	cf-1988-art-29-par-2-inc-2	II		inciso
inciso ii	cf-1988-art-29-par-2-inc-2	II		inciso
3	cf-1988-art-29-par-2-inc-3	III		inciso
3 -	cf-1988-art-29-par-2-inc-3	III		inciso
3-	cf-1988-art-29-par-2-inc-3	III		inciso
iii	cf-1988-art-29-par-2-inc-3	III		inciso
iii -	cf-1988-art-29-par-2-inc-3	III		inciso
iii-	cf-1988-art-29-par-2-inc-3	III		inciso
inc 3	cf-1988-art-29-par-2-inc-3	III		inciso
inc iii	cf-1988-art-29-par-2-inc-3	III		inciso
inc. 3	cf-1988-art-29-par-2-inc-3	III		inciso
inc. iii	cf-1988-art-29-par-2-inc-3	III		inciso
inciso 3	cf-1988-art-29-par-2-inc-3	III		inciso
inciso iii	cf-1988-art-29-par-2-inc-3	III		inciso
par 3	cf-1988-art-29-par-3	§ 3		paragrafo
paragrafo 3	cf-1988-art-29-par-3	§ 3		paragrafo
§ 3	cf-1988-art-29-par-3	§ 3		paragrafo
§ 3º	cf-1988-art-29-par-3	§ 3		paragrafo
§3	cf-1988-art-29-par-3	§ 3		paragrafo
§3º	cf-1988-art-29-par-3	§ 3		paragrafo
art 30	cf-1988-art-30	Art. 30		artigo
art 30º	cf-1988-art-30	Art. 30		artigo
art. 30	cf-1988-art-30	Art. 30		artigo
art. 30º	cf-1988-art-30	Art. 30		artigo
artigo 30	cf-1988-art-30	Art. 30		artigo
artigo 30º	cf-1988-art-30	Art. 30		artigo
1	cf-1988-art-30-inc-1	I		inciso
1 -	cf-1988-art-30-inc-1	I		inciso
1-	cf-1988-art-30-inc-1	I		inciso
i	cf-1988-art-30-inc-1	I		inciso
i -	cf-1988-art-30-inc-1	I		inciso
i-	cf-1988-art-30-inc-1	I		inciso
inc 1	cf-1988-art-30-inc-1	I		inciso
inc i	cf-1988-art-30-inc-1	I		inciso
inc. 1	cf-1988-art-30-inc-1	I		inciso
inc. i	cf-1988-art-30-inc-1	I		inciso
inciso 1	cf-1988-art-30-inc-1	I		inciso
inciso i	cf-1988-art-30-inc-1	I		inciso
2	cf-1988-art-30-inc-2	II		inciso
2 -	cf-1988-art-30-inc-2	II		inciso
2-	cf-1988-art-30-inc-2	II		inciso
ii	cf-1988-art-30-inc-2	II		inciso
ii -	cf-1988-art-30-inc-2	II		inciso
ii-	cf-1988-art-30-inc-2	II		inciso
inc 2	cf-1988-art-30-inc-2	II		inciso
inc ii	cf-1988-art-30-inc-2	II		inciso
inc. 2	cf-1988-art-30-inc-2	II		inciso
inc. ii	cf-1988-art-30-inc-2	II		inciso
inciso 2	cf-1988-art-30-inc-2	II		inciso
inciso ii	cf-1988-art-30-inc-2	II		inciso
3	cf-1988-art-30-inc-3	III		inciso
3 -	cf-1988-art-30-inc-3	III		inciso
3-	cf-1988-art-30-inc-3	III		inciso
iii	cf-1988-art-30-inc-3	III		inciso
iii -	cf-1988-art-30-inc-3	III		inciso
iii-	cf-1988-art-30-inc-3	III		inciso
inc 3	cf-1988-art-30-inc-3	III		inciso
inc iii	cf-1988-art-30-inc-3	III		inciso
inc. 3	cf-1988-art-30-inc-3	III		inciso
inc. iii	cf-1988-art-30-inc-3	III		inciso
inciso 3	cf-1988-art-30-inc-3	III		inciso
inciso iii	cf-1988-art-30-inc-3	III		inciso
4	cf-1988-art-30-inc-4	IV		inciso
4 -	cf-1988-art-30-inc-4	IV		inciso
4-	cf-1988-art-30-inc-4	IV		inciso
inc 4	cf-1988-art-30-inc-4	IV		inciso
inc iv	cf-1988-art-30-inc-4	IV		inciso
inc. 4	cf-1988-art-30-inc-4	IV		inciso
inc. iv	cf-1988-art-30-inc-4	IV		inciso
inciso 4	cf-1988-art-30-inc-4	IV		inciso
inciso iv	cf-1988-art-30-inc-4	IV		inciso
iv	cf-1988-art-30-inc-4	IV		inciso
iv -	cf-1988-art-30-inc-4	IV		inciso
iv-	cf-1988-art-30-inc-4	IV		inciso
5	cf-1988-art-30-inc-5	V		inciso
5 -	cf-1988-art-30-inc-5	V		inciso
5-	cf-1988-art-30-inc-5	V		inciso
inc 5	cf-1988-art-30-inc-5	V		inciso
inc v	cf-1988-art-30-inc-5	V		inciso
inc. 5	cf-1988-art-30-inc-5	V		inciso
inc. v	cf-1988-art-30-inc-5	V		inciso
inciso 5	cf-1988-art-30-inc-5	V		inciso
inciso v	cf-1988-art-30-inc-5	V		inciso
v	cf-1988-art-30-inc-5	V		inciso
v -	cf-1988-art-30-inc-5	V		inciso
v-	cf-1988-art-30-inc-5	V		inciso
6	cf-1988-art-30-inc-6	VI		inciso
6 -	cf-1988-art-30-inc-6	VI		inciso
6-	cf-1988-art-30-inc-6	VI		inciso
inc 6	cf-1988-art-30-inc-6	VI		inciso
inc vi	cf-1988-art-30-inc-6	VI		inciso
inc. 6	cf-1988-art-30-inc-6	VI		inciso
inc. vi	cf-1988-art-30-inc-6	VI		inciso
inciso 6	cf-1988-art-30-inc-6	VI		inciso
inciso vi	cf-1988-art-30-inc-6	VI		inciso
vi	cf-1988-art-30-inc-6	VI		inciso
vi -	cf-1988-art-30-inc-6	VI		inciso
