anchor_text_norm	slug	label	title	node_type	namespace	variant_origin	match_priority
1 -	cf-1988-art-35-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-35-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-36-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-37-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-37-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-37-par-8-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-38-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-38-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-39-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-40-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-40-par-22-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-41-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-42-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-43-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-43-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-46-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-47-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-47-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-48-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-49-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-5-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-51-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-52-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-53-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-54-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-55-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-56-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-57-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-57-par-6-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-58-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-59-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-60-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-60-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-60-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-60-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-61-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-63-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-68-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-7-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-71-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-72-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-73-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-73-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
