numero	processo	classe	incidente	peca_id	url_type	url
1130	236310	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=236310&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1131	140779	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=140779&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1132			6108505		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=6108505
1133			5038101		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5038101
1134	239964	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=239964&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1135	293536	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=293536&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1136	177835	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=177835&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M&EMENTA=2032
1137	431836	AI-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=431836&CLASSE=AI%2DAgR&cod_classe=510&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M&EMENTA=2117
1138	552033	AI-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=390572&PROCESSO=552033&CLASSE=AI%2DAgR&cod_classe=510&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2255
1139	121617	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=121617&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1140				15359683210	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15359683210&ext=.pdf
1141				15359683211	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15359683211&ext=.pdf
1142				15359683212	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15359683212&ext=.pdf
1143			2565291		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=2565291
1144				15372693642	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15372693642&ext=.pdf
1145	1917	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=480500&PROCESSO=1917&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2286
1146				15372464812	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15372464812&ext=.pdf
1147			5825141		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5825141
1148			4293548		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=4293548
1149			4043240		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4043240
1150			6174725		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6174725
1151			4852220		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=4852220
1152	129877	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=129877&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1153			4983092		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=4983092
1154			5383051		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=5383051
1155	1657	AC-MC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=483580&PROCESSO=1657&CLASSE=AC%2DMC&cod_classe=1250&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2287
1156	613	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=613&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1157			5743456		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5743456
1158	2556	ADI-MC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=347622&PROCESSO=2556&CLASSE=ADI%2DMC&cod_classe=555&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2118
1159				15358007953	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15358007953&ext=.pdf
1160			4584485		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4584485
1161	580	ACO			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=266114&PROCESSO=580&CLASSE=ACO&cod_classe=500&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2088
1162	21797	MS			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=85612&PROCESSO=21797&CLASSE=MS&cod_classe=376&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2031
1163	214206	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=245242&PROCESSO=214206&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=1912
1164				15367714621	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15367714621&ext=.pdf
1165			4737198		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=4737198
1166			6348441		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6348441
1167			6339632		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6339632
1168			6447986		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6447986
1169			6136287		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6136287
1170	2006	ADI-MC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=2006&CLASSE=ADI%2DMC&cod_classe=555&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1171	200844	RE-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=200844&CLASSE=RE%2DAgR&cod_classe=539&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1172				15368267040	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15368267040&ext=.pdf
1173	1709	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=1709&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1174	1417	ADI-MC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=1417&CLASSE=ADI%2DMC&cod_classe=555&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1175	479134	RE-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=478162&PROCESSO=479134&CLASSE=RE%2DAgR&cod_classe=539&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2285
1176				15363132785	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15363132785&ext=.pdf
1177				15359683213	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15359683213&ext=.pdf
1178			6397002		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6397002
1179			4216984		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4216984
1180			6153435		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6153435
