com_id	artigo	url	link_label	referencia	texto_preview
86176	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=628633	ADPF 132		"Reconhecimento do direito à preferência sexual como direta emanação do princípio da ""dignidade da pessoa humana"": direito à autoestima no mais elevado"
59360	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=611723	ADI 3.510	 ADI 3.510 , rel. min. Ayres Britto, j. 29-5-2008, P, DJE de 28-5-2010.	A pesquisa científica com células-tronco embrionárias, autorizada pela Lei 11.105/2005, objetiva o enfrentamento e cura de patologias e traumatismos q
59330	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=555517	ADI 2.649	 ADI 2.649 , rel. min. Cármen Lúcia, j. 8-5-2008, P, DJE de 17-10-2008.	A Lei 8.899/1994 é parte das políticas públicas para inserir os portadores de necessidades especiais na sociedade e objetiva a igualdade de oportunida
93533	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15369430978&amp;ext=.pdf	ADPF 1.107	 ADPF 1.107 , rel. min. Cármen Lúcia, j. 23.5.2024, P, DJE de 26.8.2024.	Ofende os princípios da igualdade e da dignidade da pessoa humana a perquirição da vítima, em processos apuratórios e julgamentos de crimes contra a d
96726	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15378290402&amp;ext=.pdf	ARE 959.620	 ARE 959.620 , rel. min. Edson Fachin, j. 2-4-2025, P, DJE de 2-7-2025, Tema 998 , com mérito julgado.	"Repercussão geral ""1. Em visitas sociais nos presídios ou estabelecimentos de segregação é inadmissível a revista íntima vexatória com o desnudamento "
96726	cf-art-1	http://portal.stf.jus.br/jurisprudenciaRepercussao/verAndamentoProcesso.asp?incidente=4956054&amp;numeroProcesso=959620&amp;classeProcesso=ARE&amp;numeroTema=998	Tema 998	 ARE 959.620 , rel. min. Edson Fachin, j. 2-4-2025, P, DJE de 2-7-2025, Tema 998 , com mérito julgado.	"Repercussão geral ""1. Em visitas sociais nos presídios ou estabelecimentos de segregação é inadmissível a revista íntima vexatória com o desnudamento "
96642	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289742&amp;ext=.pdf	RE 881.748 RG	 RE 881.748 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.374 , com mérito pendente.	Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves violações aos Dire
96642	cf-art-1	https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1374	Tema 1.374	 RE 881.748 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.374 , com mérito pendente.	Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves violações aos Dire
96647	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289716&amp;ext=.pdf	ARE 1.316.562 RG	 ARE 1.316.562 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.376 , com mérito pendente.	Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves violações aos Dire
96647	cf-art-1	https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1376	Tema 1.376	 ARE 1.316.562 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.376 , com mérito pendente.	Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves violações aos Dire
