numero	classe	numero_processo	relator	redator	data_julgamento	orgao	dje	tema_rg	raw
906	ACO	1.803							[ACO 1.803 AgR, rel. min. Ricardo Lewandowski, j. 21-8-2017, P, DJE de 25-8-2017.]
907	MS	30.248							[MS 30.248 AgR, rel. min. Roberto Barroso, j. 7-10-2016, 1ª T, DJE de 26-10-2016.]
908	RE	781.794							[RE 781.794 AgR, rel. min. Luiz Fux, j. 2-8-2016, 1ª T, DJE de 19-8-2016.]
909	HC	127.483	D						[HC 127.483, rel. min. Dias Toffoli, j. 27-8-2015, P, DJE de 4-2-2016.]
910	MS	28.417							[MS 28.417 AgR, rel. min. Dias Toffoli, j. 27-2-2014, P, DJE de 2-4-2014.]
911	AP	516							[AP 516 ED, red. do ac. min. Luiz Fux, j. 5-12-2013, P, DJE de 1º-8-2014.]
912	RE	550.769	J						[RE 550.769, rel. min. Joaquim Barbosa, j. 22-5-2013, P, DJE de 3-4-2014.]
913	MS	29.247							[MS 29.247, voto do min. Marco Aurélio, j. 20-11-2012, 1ª T, DJE de 25-2-2013.]
914	MS	30.799	C						[MS 30.799, rel. min. Cármen Lúcia, j. 2-10-2012, 2ª T, DJE de 9-11-2012.]
915	RMS	28.047	R						[RMS 28.047, rel. min. Ricardo Lewandowski, j. 6-12-2011, 2ª T, DJE de 19-12-2011.]
916	HC	108.037	M						[HC 108.037, rel. min. Marco Aurélio, j. 29-11-2011, 1ª T, DJE de 1º-2-2012.]
917	RMS	28.517	C						[RMS 28.517, rel. min. Celso de Mello, j. 1º-8-2011, dec. monocrática, DJE de 4-8-2011.]
918	AI	541.949							[AI 541.949 AgR, rel. min. Marco Aurélio, j. 13-4-2011, 1ª T, DJE de 18-5-2011.]
919	HC	101.900	C						[HC 101.900, rel. min. Celso de Mello, j. 21-9-2010, 2ª T, DJE de 11-3-2014.]
920	RE	495.370							[RE 495.370 AgR, rel. min. Joaquim Barbosa, j. 10-8-2010, 2ª T, DJE de 1º-10-2010.]
921	HC	102.094							[HC 102.094 MC, rel. min. Celso de Mello, j. 1º-7-2010, dec. monocrática, DJE de 2-8-2010.]
922	HC	96.328	C						[HC 96.328, rel. min. Cezar Peluso, j. 2-3-2010, 2ª T, DJE de 9-4-2010.]
923	HC	96.864	C						[HC 96.864, rel. min. Cármen Lúcia, red. do ac. min. Marco Aurélio, j. 20-10-2009, 1ª T, DJE de 18-12-2009.]
924	RE	591.604							[RE 591.604 AgR-ED-QO, rel. min. Cezar Peluso, j. 6-10-2009, 2ª T, DJE de 20-11-2009.]
925	RHC	90.532							[RHC 90.532 ED, rel. min. Joaquim Barbosa, j. 23-9-2009, P, DJE de 6-11-2009.]
926	AC	2.403							[AC 2.403 MC-ED-REF, rel. min. Celso de Mello, j. 20-8-2009, P, DJE de 18-9-2009.]
927	HC	84.487	C						[HC 84.487, rel. min. Cezar Peluso, j. 2-6-2009, 2ª T, DJE de 26-6-2009.]
928	HC	93.628	R						[HC 93.628, rel. min. Ricardo Lewandowski, j. 31-3-2009, 1ª T, DJE de 17-4-2009.]
929	HC	94.641	E						[HC 94.641, rel. min. Ellen Gracie, red. do ac. min. Joaquim Barbosa, voto do min. Cezar Peluso, j. 11-11-2008, 2ª T, DJE de 6-3-2009.]
930	MS	25.962	M						[MS 25.962, rel. min. Marco Aurélio, j. 23-10-2008, P, DJE de 20-3-2009.]
931	HC	94.670	C						[HC 94.670, rel. min. Cármen Lúcia, j. 21-10-2008, P, DJE de 24-4-2009.]
932	HC	95.682	M						[HC 95.682, rel. min. Marco Aurélio, j. 14-10-2008, 1ª T, DJE de 19-12-2008.]
