index	tipo	numero	label	title	texto	path	line_start
132	inciso	LXXIX	LXXIX		é assegurado, nos termos da lei, o direito à proteção dos dados pessoais, inclusive nos meios digitais. (Incluído pela Emenda Constitucional nº 115, de 2022)	TÍTULO II > CAPÍTULO I > Art. 5 > LXXIX	140
133	paragrafo	1	§ 1		As normas definidoras dos direitos e garantias fundamentais têm aplicação imediata.	TÍTULO II > CAPÍTULO I > Art. 5 > § 1	141
134	paragrafo	2	§ 2		Os direitos e garantias expressos nesta Constituição não excluem outros decorrentes do regime e dos princípios por ela adotados, ou dos tratados internacionais em que a República Federativa do Brasil seja parte.	TÍTULO II > CAPÍTULO I > Art. 5 > § 2	142
135	paragrafo	3	§ 3		Os tratados e convenções internacionais sobre direitos humanos que forem aprovados, em cada Casa do Congresso Nacional, em dois turnos, por três quintos dos votos dos respectivos membros, serão equivalentes às emendas constitucionais. (Incluído pela Emenda Constitucional nº 45, de 2004) (Vide ADIN 3392) (Vide Atos decorrentes do disposto no § 3º do art. 5º da Constituição)	TÍTULO II > CAPÍTULO I > Art. 5 > § 3	143
136	paragrafo	4	§ 4		O Brasil se submete à jurisdição de Tribunal Penal Internacional a cuja criação tenha manifestado adesão. (Incluído pela Emenda Constitucional nº 45, de 2004)	TÍTULO II > CAPÍTULO I > Art. 5 > § 4	144
137	capitulo	II	CAPÍTULO II	DOS DIREITOS SOCIAIS		TÍTULO II > CAPÍTULO II	145
138	artigo	6	Art. 6		São direitos sociais a educação, a saúde, a alimentação, o trabalho, a moradia, o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à infância, a assistência aos desamparados, na forma desta Constituição. (Redação dada pela Emenda Constitucional nº 90, de 2015)	TÍTULO II > CAPÍTULO II > Art. 6	147
139	paragrafo	único	Parágrafo único		Todo brasileiro em situação de vulnerabilidade social terá direito a uma renda básica familiar, garantida pelo poder público em programa permanente de transferência de renda, cujas normas e requisitos de acesso serão determinados em lei, observada a legislação fiscal e orçamentária (Incluído pela Emenda Constitucional nº 114, de 2021) (Vide Lei nº 14.601, de 2023)	TÍTULO II > CAPÍTULO II > Art. 6 > Parágrafo único	148
140	artigo	7	Art. 7		São direitos dos trabalhadores urbanos e rurais, além de outros que visem à melhoria de sua condição social:	TÍTULO II > CAPÍTULO II > Art. 7	149
141	inciso	I	I		relação de emprego protegida contra despedida arbitrária ou sem justa causa, nos termos de lei complementar, que preverá indenização compensatória, dentre outros direitos;	TÍTULO II > CAPÍTULO II > Art. 7 > I	150
142	inciso	II	II		seguro-desemprego, em caso de desemprego involuntário;	TÍTULO II > CAPÍTULO II > Art. 7 > II	151
143	inciso	III	III		fundo de garantia do tempo de serviço;	TÍTULO II > CAPÍTULO II > Art. 7 > III	152
144	inciso	IV	IV		salário mínimo , fixado em lei, nacionalmente unificado, capaz de atender a suas necessidades vitais básicas e às de sua família com moradia, alimentação, educação, saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim;	TÍTULO II > CAPÍTULO II > Art. 7 > IV	153
145	inciso	V	V		piso salarial proporcional à extensão e à complexidade do trabalho;	TÍTULO II > CAPÍTULO II > Art. 7 > V	154
146	inciso	VI	VI		irredutibilidade do salário, salvo o disposto em convenção ou acordo coletivo;	TÍTULO II > CAPÍTULO II > Art. 7 > VI	155
147	inciso	VII	VII		garantia de salário, nunca inferior ao mínimo, para os que percebem remuneração variável;	TÍTULO II > CAPÍTULO II > Art. 7 > VII	156
148	inciso	VIII	VIII		décimo terceiro salário com base na remuneração integral ou no valor da aposentadoria; IX &#150; remuneração do trabalho noturno superior à do diurno;	TÍTULO II > CAPÍTULO II > Art. 7 > VIII	157
149	inciso	X	X		proteção do salário na forma da lei, constituindo crime sua retenção dolosa; XI &#150; participação nos lucros, ou resultados, desvinculada da remuneração, e, excepcionalmente, participação na gestão da empresa, conforme definido em lei;	TÍTULO II > CAPÍTULO II > Art. 7 > X	159
150	inciso	XII	XII		salário-família pago em razão do dependente do trabalhador de baixa renda nos termos da lei; (Redação dada pela Emenda Constitucional nº 20, de 1998)	TÍTULO II > CAPÍTULO II > Art. 7 > XII	161
151	inciso	XIII	XIII		duração do trabalho normal não superior a oito horas diárias e quarenta e quatro semanais, facultada a compensação de horários e a redução da jornada, mediante acordo ou convenção coletiva de trabalho; (Vide Decreto-Lei nº 5.452, de 1943)	TÍTULO II > CAPÍTULO II > Art. 7 > XIII	162
152	inciso	XIV	XIV		jornada de seis horas para o trabalho realizado em turnos ininterruptos de revezamento, salvo negociação coletiva;	TÍTULO II > CAPÍTULO II > Art. 7 > XIV	163
153	inciso	XV	XV		repouso semanal remunerado, preferencialmente aos domingos;	TÍTULO II > CAPÍTULO II > Art. 7 > XV	164
154	inciso	XVI	XVI		remuneração do serviço extraordinário superior, no mínimo, em cinqüenta por cento à do normal; (Vide Del 5.452, art. 59 § 1º)	TÍTULO II > CAPÍTULO II > Art. 7 > XVI	165
155	inciso	XVII	XVII		gozo de férias anuais remuneradas com, pelo menos, um terço a mais do que o salário normal;	TÍTULO II > CAPÍTULO II > Art. 7 > XVII	166
156	inciso	XVIII	XVIII		licença à gestante, sem prejuízo do emprego e do salário, com a duração de cento e vinte dias;	TÍTULO II > CAPÍTULO II > Art. 7 > XVIII	167
157	inciso	XIX	XIX		licença-paternidade, nos termos fixados em lei;	TÍTULO II > CAPÍTULO II > Art. 7 > XIX	168
158	inciso	XX	XX		proteção do mercado de trabalho da mulher, mediante incentivos específicos, nos termos da lei;	TÍTULO II > CAPÍTULO II > Art. 7 > XX	169
